university,startup,email
Kabul University of Medical Sciences (KUMS),TAZA Food Group,dir.pnpr@nust.edu.pk
National University of Sciences and Technology (NUST),Froods,webmaster@pilani.bits-pilani.ac.in
BITS PILANI,Godam,nanci.martin@northwestern.edu
"Northwestern University, Qatar",Sepa,registrar@gcwuf.edu.pk
GC Women University Faisalabad,Chammy Production,Contact@tunis-business-school.tn
Tunis Business School,Moona Insurance,rectorat@univ-skikda.dz
University of 20 August 1955 Skikda,Fisherium,president@meu.edu.jo
Middle East University,Humungus Box,info@aibasavar.edu.bd
Army Institute of Business Administration,WhiteShell,inquiries@tangaza.ac.ke
Tangaza University College,Watoto Tule,deputyregacaddiv@crutech.edu.ng
Cross River University of Technology,DC Solar Element Stove,mdees@iese.edu
IESE Business School,Zeolife,-
North Eastern Hill University,Foodsmoke (Team Aces),public@just.edu.jo
Jordan university of science and technology,Zad,info@uofk.edu
University of Khartoum,Pharma cool,info@mmu.ac.ke
Multimedia University of Kenya,Virdismart Global,uscnews@usc.edu
University of Southern California,Mi Terro,info@strathmore.edu
Strathmore University,GreenEco Organix,info@gju.edu.jo
German Jordanian University,Eflah,(+52) 442 192 1200
Universidad Autónoma de Querétaro,MINTO,ts@fayoum.edu.eg
Fayoum University,Chemfree,icwww@mahidol.ac.th
Mahidol University International College,DITUS,info@bau.edu.bd
Bangladesh Agricultural University,Mush-Reign,cpao@hku.hk
University of Hong Kong,Edilery,cfia@ntu.edu.tw
National Taiwan University,InterWellness,registrar@uds.edu.gh
University for Development Studies,SheaMe,info@strathmore.edu
Strathmore University,Kivu Sokoni,pr@najah.edu
An-Najah National University,Green Gold,general secretary: 98797452
Universidad Nacional de San Antonio Abad del Cusco,NOSTOC,publicaffairs@yale-nus.edu.sg
Yale-NUS College,Uniphage,communications@newschool.edu
Parsons The New School for Design,MotherBud,INFO@BUV.EDU.VN
British University Vietnam,Peel Us,enquiry@andhrauniversity.edu.in
Adhra University,Aquafarm India,Vice chancellor/Prof.Raleev: vcuorj@gmail.com
University of Rajasthan,Shotej,impresa@pucpr.br (41) 3271-1555
Pontificia Universidade Católica do Paraná,Joyn,info@matmor.unam.mx
National Autonomous University of Mexico,Solar4Eat,cintech@ejust.edu.eg
Egypt-Japan University for Science and Technology,Changemakers,poffice@aau.edu.et
Addis Ababa University,Kairos,TECservices@servicios.tec.mx
Tecnologico de Monterrey,Chance,TECservices@servicios.tec.mx
Tecnologico de Monterrey,MADU,iscae@groupeiscae.ma
Institut Supérieur De Commerce Et Administration Des Entreprises,Pla'Bio,cpr@cuhk.edu.hk
The Chinese University of Hong Kong,ReKOPI,media@ucop.edu
Universidad del Rosario,SiembraCo,(+52) 33 3134 2222
University of California,Impact Food,info@tu.edu.np
Universidad de Guadalajara,V Jelly,TECservices@servicios.tec.mx
Tribuvan University,BEAN,p.honecker@verw.uni-koeln.de
Tecnologico de Monterrey,PALADARTE,president@iiu.edu.pk
University of Cologne,Save the Grain,info@rsu.edu.so
Islamic University,Crispy iron,mdees@iese.edu
Red Sea University,Cassiena,(809) 567 9271 / servicios.csh@intec.edu.do
IESE Business School,Go Green & Grown,contact@esprit.tn
Instituto Tecnologico de Santo Domingo,Our Flavour,receptionist@mbs.edu
Esprit Private Higher School of Engineering and Technology,GLARINA,dukenews@duke.edu
Melbourne Business School,Grainarc,mis@umindanao.edu.ph
Duke University,Beyond Tea,(+212) (0) 539 80 57 12
University of Mindanao,Alipugpug Tech Solutions,(+593) 6299 9500 / info@yachaytech.edu.ec
Ecole Nationale des Science Appliquées al-Hoceima,Neoshelf,recteur@ul.edu.lb
Yachay Tech University ,Water-Y,media@ucop.edu
Lebanese University,Chill-Lit,media@ucop.edu
University of California ,Chilk,info@aaup.edu
University of California,Second Brew,avillaco@ulima.edu.pe
Arab American University of Palestine,Fishetables,webmaster@itam.mx
Universidad de Lima,Exportacus,dei@uc.edu.py
Insituto Tecnológico Autónomo de México,AhDiablo!,-
Universidad Catolica Nuestra Señora de la Asuncion,ReMango,info@tugraz.at
Tartous University,Qerat,rectorat@univ-skikda.dz
Graz University of Technology,Milkywaste,-
University 20 august 1955 Skikda,Eco-Char,info@qu.edu.qa
National Chengchi University,UpRoot,
Qatar University,Revive,
